world_id,world_name,lesson_id,lesson_no,title,title_vi,topic,new_word_count,vocabulary,sentence_patterns,grammar,listening,speaking,reading,writing,mini_game,level,hangout1_ref,yle_ref,duration_min,story_hook
W0,Tutorial Village,W0-T01,1,First Steps,Bước đầu,greetings,2,hello; hi,Hello!; Hi!,chunks,1,0,0,0,listen_choose,Beginner,HO1-Welcome,Starters,2,Chạm cổng làng và chào Mira
W0,Tutorial Village,W0-T02,2,Your Name,Tên của bạn,intro,1,name,What's your name?; My name is ...,be (I am),1,1,0,0,speaking_challenge,Beginner,HO1-Welcome,Starters,2,Ghi danh nhà thám hiểm
W0,Tutorial Village,W0-T03,3,How to Play,Cách chơi,controls,2,yes; no,Yes.; No.; Find the star.,yes/no,1,0,0,0,find_it,Beginner,HO1-Welcome,Starters,2,Nghe lệnh tìm ngôi sao
W0,Tutorial Village,W0-T04,4,Thank You,Cảm ơn,polite,3,please; thank you; goodbye,Please.; Thank you.; Goodbye.,chunks,1,1,0,0,listen_choose,Beginner,HO1-Welcome,Starters,2,Nhận bản đồ và vào nhà
W1,My Home,W1-L01,1,Hello!,Xin chào,greetings,5,hello; hi; goodbye; please; thank you,Hello!; Hi!; Goodbye!; Please.; Thank you.,chunks,1,1,0,0,listen_choose,Beginner,HO1-Welcome,Starters,7,Cửa nhà khóa — chào Mira để được giúp
W1,My Home,W1-L02,2,My Name,Tên của mình,identity,8,name; friend; boy; girl; years old; one; two; three; four; five; six; seven; eight; nine; ten,What's your name?; My name is ...; I am ten.; I'm ten years old.,be (I am),1,1,1,0,word_puzzle,Beginner,HO1-Welcome,Starters,8,Hòm thư bản đồ cần tên nhà thám hiểm
W1,My Home,W1-L03,3,My Family,Gia đình,family,7,mum; dad; sister; brother; grandma; grandpa; family,This is my mum.; He is my brother.; She is my sister.; Who is this?,this is; possessive my; he/she,1,1,1,0,match,Beginner,HO1-U4,Starters,8,Ai đang ở nhà? Tìm người thân
W1,My Home,W1-L04,4,My Room,Phòng của mình,rooms,7,room; bed; desk; chair; lamp; door; window,This is my room.; This is my bed.; There is a lamp.,this is; there is,1,1,1,1,find_it,Beginner,HO1-U7-rooms,Starters,8,Phòng tối — bật đèn tìm manh mối
W1,My Home,W1-L05,5,My Toys,Đồ chơi,toys,7,toy; doll; ball; car; robot; puzzle; kite,I have a ball.; What's this?; It's a robot.,have; a/an; this is,1,1,1,1,find_it,Beginner,HO1-U2,Starters,8,Rương đồ chơi — Teddy từng ở đây
W1,My Home,W1-L06,6,My Body,Cơ thể,body,8,head; eyes; nose; mouth; hands; feet; arms; legs,This is my nose.; Touch your head.; I have two hands.,plurals; numbers,1,1,0,0,listen_choose,Beginner,HO1-U8,Starters,8,Gương ma thuật — làm đúng động tác
W1,My Home,W1-L07,7,My Clothes,Quần áo,clothes,7,T-shirt; pants; dress; hat; shoes; socks; jacket,I'm wearing a hat.; It's a blue jacket.; Put on your shoes.,present continuous (wearing),1,1,1,0,match,Beginner,HO-beyond,Starters,8,Mưa — mặc đồ rồi ra sân
W1,My Home,W1-L08,8,My Colors,Màu sắc,colors,8,red; blue; yellow; green; orange; pink; black; white,What color is it?; It's red.; I have a green kite.,adjective + noun,1,1,1,1,sentence_builder,Beginner,HO1-Welcome,Starters,8,Bản đồ lem màu — sơn theo lời Mira
W1,My Home,W1-L09,9,Home Review,Ôn nhà,review,0,(recycle W1),mix L01-L08,mix,1,1,1,1,match,Beginner,HO1-mix,Starters,10,Album gia đình — ôn đường trong nhà
W1,My Home,W1-L10,10,The Missing Teddy,Gấu bông mất tích,boss,0,(recycle W1 + in/on/under),Where is Teddy?; It's under the bed.,in; on; under,1,1,1,0,find_it,Beginner,HO1-U3-prepositions,Starters,12,Nghe manh mối tìm Teddy
W2,My School,W2-L01,1,School Bag,Cặp sách,school objects,6,pencil; pen; book; bag; eraser; ruler,I have a pencil.; What's this?; It's a pen.,have; a/an,1,1,1,0,find_it,A1,HO1-U1,Starters,8,Mira làm rơi đồ — nhặt đúng đồ
W2,My School,W2-L02,2,What's in My Bag?,Trong cặp có gì,school objects,4,crayon; notebook; lunchbox; pencil case,Do you have a ruler?; Yes I do.; No I don't.,Do you have; short answers,1,1,1,1,match,A1,HO1-U1,Starters,8,Đố bạn trong cặp có gì
W2,My School,W2-L03,3,My Classroom,Lớp học,classroom,6,classroom; board; cupboard; clock; shelf; map,This is my classroom.; There is a board.,there is/are,1,1,1,0,find_it,A1,HO1-U3,Starters,8,Lớp trống — sắp đồ đúng chỗ
W2,My School,W2-L04,4,Where Is It?,Ở đâu?,prepositions,3,in; on; under,Where is the book?; It's on the desk.,where; in/on/under,1,1,1,1,listen_choose,A1,HO1-U3,Starters,8,Giấu đồ chơi trong lớp
